id,text,company,positive,negative,notr
41,8 Haziran TYT sınavında görev aldım. Soyadım bankada güncel olmadığı için ücretim yatmadı. Daha sonra bankada güncelledim ve ÖSYM mail attım. Mailime dönüş olmadı. Ücretim de yatmadı. Ösym aradığımda kimseyle görüşemiyorum. Ücretimin yatmasını talep ediyorum.,,,,
42,"Kısa süre önce Silivri'ye ziyaretim sırasında denk geldiğim E*** Uydu Elektronik dükkanından uydu anteni ekipmanı satın alırken, satıcının tavsiyesi ile elden IPTV üyeliği nakit olarak satın aldım. Aldığım bu üyelik içindeki içeriklerde Biziz IPTV içeriği mevcut olduğunu gördüğümde, satıcıyı telefon ile aradım ve içeriğin kendilerine ait olduğunu belirttiler. Ayrıca, sorun olduğunda web site adreslerini vererek güven artırıcı davranışlarda bulundular. Fakat bir süre sonra yayınlarımı keserek, çoklu kullanıcı kullanmış diyerek hesabımı bloke ettiler. Daha 1 ay dolmadan çift ekran için ödediğim 2 yıllık para boşa gitmiştir. Kendilerini savcılığa şikayet edeceğim. Hiç kimse inanıp satın alma işlemi yapmasın.",,,,
43,"Zara'dan alışveriş yaptım. Bir gün de kargo tarafından gönderilecekti. Teslimat tarihi 12.06 gözükürken bugün de teslim edilmedi. Kurye 2 gündür şubeye geri gönderiyor. Sipariş numaram 235692398371. Cuma günü ulaşması lazım, bayram araya giriyor ancak kargo şirketi bunun farkında değil.",,,,
44,13.06.2024 tarihinde tarafıma Musteki Uzlaşma ceza dosyanızın onay günüdür. Bilgi almak için arayınız. dosyahakkindabilgi.com B001 böyle bir mesaj tarafıma ulaşmıştır hiçbir sorumluluk kabul etmiyorum bu konu hakkında yasal işlem başlatılmasını kabul etmemekle birlikte hiçbir sorumluluk kabul etmiyorum.,,,,
45,"Dün L***** Ö**** Ticaret'e gittim, 31680 HKV kule tipi vantilatörü beğendim. Benimle ilgilenen beyefendiye, eşimle konuşup bugün için uğrayacağımı söyledim. Daha önceden de müşterisi olduğumdan güvendim. Bugün gittim, benimle ilgilenen hanımefendi, 'Dün akşam son stokların kaldığı bilgisi size verilmeliydi.' deyince, 'Hayır.' dedim. Toparlamaya çalıştı fakat bir kez ağzından kaçırdı: 'O ürün şimdi internette 5 bin lira yerine 10 binin üstünde satılıyor.' Beko'nun bu konunun üzerinde duracağını tahmin ederek bu dilekçeyi yazıyorum.",,,,
46,Maaş hesabım başka bir bankada olmasına rağmen Garanti Bankası'na ait kredi kartını kullanıyorum ve her ay düzenli olarak alışverişlerimin birçoğunu bu kart aracılığıyla yapıyorum. Kazandığım 665 TL Bonus Puanım süresinde kullanamadığım için silindi. BonusFlaş uygulamasında puan kampanyaları bittiği tarihte kampanya bilgileri kaldırıldığından puanlarımın son kullanım tarihlerini takip etmem mümkün olmadı. Herhangi bir SMS bildirim gibi yollarla son kullanma tarihi belirtilmediği için ve günlük hayatın koşuşturmacası içerisinde takip etmek mümkün olmadığından puanlarım silindi. Bankanın müşteri hizmetlerine durumu ilettim ancak tarafıma olumsuz dönüş yapıldı. Yıllardır Garanti Bankası müşterisiyim ve kredi kartı kullanıcısıyım. Müşteri memnuniyetinin sağlanması adına silinen 665 TL Bonus tutarının yatırılmasını talep ediyorum.,,,,
47,"Ben her hafta iş seyahatine çıkıyorum. Bu hafta Uludağ Turizm ile 12.06 tarihinde sabah 08:00 otobüsü ile İzmir'den Gönen'e giderken otogardan 1,5 saat çıkamadık. Sebebi, şoförün aracı kullanma izni olmadığı için polisler izin vermedi. Yeni şoför bekledik ve tabii ki geç kaldım. Bugün Gönen'den İzmir'e yine Uludağ Turizm ile 14:00 aracıyla yolculuk yaptım. Klima gazı bittiği için 5,5 saat o kadar sıcakta yolculuk yaptık ki hayatımın en kötü yolculuğu oldu. Sıcaktan yaşlı insanlar kriz geçireceklerdi. Lütfen biraz daha dikkat eder misiniz? Sizi uzun bir süre tercih etmeyeceğim.",,,,
48,Hepsiburada'dan 148 507 275 sipariş numaralı 2 adet 35.550₺ lik Vestel klima alışverişim oldu. Günlerdir teslimat bekliyorum. Teslimat Hepsijet ile yapılacaktı. Teslimat no:6565 2422 0047 10. Fakat kargom başkasına teslim edilmiş nasıl olur aklım almıyor. Evimde hem dışarıyı çeken hem merdiven dairesini çeken kamera mevcut kayıtlarda gelen giden bir kargo yok! Derhal mağduriyetimin giderilmesini istiyorum! Gerekli yerlere de şikayette bulunacağım!,,,,
49,"Sahildeki yat limanı düzenlemesi için sahil yolu kesiliyor. Ayrıca millet bahçesinin yeni düzenlemesinde tepede ağaçlar kesildi, okul yapılacaktı ama yapılmadı. Tepeden çıkardıkları taşları sürekli yat limanına yığıp yakın parkları ve evleri toz duman içinde bırakıyorlar. Darıca Belediyesi'nin sahil parkları eski bakımını kaybetti.",,,,
50,"İzmir Aliağa TED Okulu'nda olan son durumlardan (ilkokuldaki neredeyse tüm öğretmenlerin (20 yıldır orada çalışan, öğrencilerin anneleri gibi sevdiği bir öğretmen dahil) işten çıkarılması, hademelerin dahil işten çıkarılması, velilere açıklama dahi yapılmaması, velilerin görüşme taleplerinin reddedilmesi, öğrencilerin 1 haftadır ağlamaktan psikolojilerinin bozulması - bu bahsettiğim kişilerden birisi de benim yeğenim, 7 yaşında ve 1. sınıf öğrencisi sadece - haberdar mısınız bilmiyorum ama çok şaşkınız ve çok üzgünüz. Derneğiniz sitesinde TED neden okul açar bölümüne baktığımızda, TED Okullarının tamamının aynı eğitim yönetimi anlayışıyla yönetileceği, tüm okulların standartlaştırılmış kalite süreçlerine sahip olacağı yazıyor. Finansal yönetim sisteminden bağımsız olarak tüm TED Okulları aynı eğitim anlayışı ve kurumsal standartlara uygun olarak yönetileceği de ayrıca belirtiliyor.TED markasına asla yakışmayan, tamamen finansal bir kuruluş gibi yönetilen, velilerine açıklama dahi yapmayan, D**** K******** tarafından adeta kendi şirketi gibi yönetilen bir okuldan bahsediyoruz.Lütfen bu konuda duyarsız kalmayın ve bir açıklama yapın, aksiyon alın. Çünkü veliler artık sesini duyuramıyor.Bu konuda nasıl ilerlenecek? Tüm branşlarda öğretmen ilanı verilmiş, kimler alınacak? Toplu işten çıkarmanın sebebi nedir? Çocukların psikolojileri nasıl düzeltilecek? Patron şirketi gibi yönetim anlayışına nasıl bir açıklama yapacaksınız? Neden bu şekilde yönetime izin veriliyor? D**** K******** kimin yakını ve bu şekilde yönetme hakkına sahip? Liyakat mevcut değil mi?",,,,
51,"16 dersin hepsinin klasik olup sadece sınavlardan 3 dersten kalmak kadar saçma bir şey yok. Ne bekliyorsunuz? 16 dersten bir seneyi çöpe atıyorsunuz. 9. sınıflar daha ilk senelerimiz ve 4 sayısal dersten kaldığım için bir senem çöpe gitti. Sadece psikolojik olarak da tekrar okumak çok zor. Daha 15 yaşındayız ve bir sürü kalanlar oldu. Bu gidişle 30 kişi değil, 50 kişi mevcut olur. Lütfen af gelsin.",,,,
52,"Arzum Okka makinem ısıtmıyor, kaynamadan alarm veriyor. 4 kapasitesi var, 3'te bile taşırıyor, düzgün köpürtmüyor. Sürekli aynı sorun var, yeni kullanmaya başladım. İlk zamanlar da bu şekilde idare ettim fakat artık hiç yapmıyor. Makinemi temiz tutuyorum, deterjansız yıkıyorum fakat sensörü yanmasına rağmen bekliyorum, hala ısıtmıyor.",,,,
53,"Mastercard kaydet özel indirim kazan kampanyasını kullanmak istedim. İlk defa Mastercard'ımı kaydettim ve 3 kere yolculuk yapmadım. Yolculuğumdan sonra Mastercard'ım ile ödeme yapmak için ödeme kısmına geldim, hiçbir kampanya karşıma çıkmadı. Kampanyalı ücretten fazla kesilen paramın iadesini istiyorum.",,,,
54,"12.06.2024 tarihinde Getir Çarşı'dan taze sebze aldım fakat ürünler kötü geldi ve bu yüzden iade istedim. Kuryelerinin yoğun olduğunu söyleyen Getir Çarşı, 13.06.2024 tarihinde 19.00-20.00 arasında ürünü benden alacaklarını belirttiler. Dolabımda muhafaza ettim. Saat 20.00'yi geçtikten sonra Getir canlı destekle görüştüm. Tam 3 farklı kişi ile görüştüm fakat sorunu çözmeden hepsi görüşmeyi sonlandırdı. Daha sonra 14.06.2024 tarihinde 15.00-16.00 arasında teslimat seçtiğimi iddia ettiler. Geçmiş siparişlerimde görüntülediğimde 13.06.2024 yazmaktadır. Canlı destek ile konuşurken yazdığı tarih açık bir beyan şeklinde ortadadır. Caydırma politikası adı altında bu denli basit numaralara Getir gibi bir platformun gerek duyduğunu düşünmezdim. Eğer yarın belirtilen saatte de gelinmezse Tüketici Mahkemesi'ne şikayette bulunacağım. Firma yetkililerinin tarafıma ulaşmasını istemekteyim.",,,,
55,"Gümüş kolye aldım, iade edemiyorum. Telefonu açan yok, sitede iade bölümü çıkmıyor. Üstelik gümüşlerinin düzgün gümüş olduğunu düşünmüyorum. Hemen kararma ve paslanma yapıyor, hem zincir hem kolye. Bakım yapmazsanız kullanamazsınız, kötü koku bırakıyor. İnsanın cildinde de yapıyor.",,,,
56,"Denge Enerji, Süperonline'dan aradıklarını ve Digiturk ile Süperonline arasında anlaşma yaptıklarını, hiçbir ücret ödemeden devam edebileceğimizi söylediler. Gelen mesajda onay vermemizi söylediler. Biz de onay verdik. Dün itibariyle 300 TL fatura geldi. Biz de Digiturk müşteri hizmetlerini arayarak şikayetimizi bildirip iptal etmek istediğimizi söyledik. Bizden iptal için 700 TL ücret istediler. Başka insanların mağdur olmaması için bilgilendirmek istedim.",,,,
57,"Son 1 haftadan beri çarşamba hocahasan mah. Sürekli elektrik kesintileri yaşanıyor. Ve hiçbir süreklilik getirecek bir çözüm sunulmuyor. İnsanların elektrikli aletleri bozulacak, her şeyden önce bu sıcakta insanlar klimalarını vs. Kullanamıyor. Daha önce de belirtmiştim. İş bilmez ve iş görmez bir firma. Müşteri ilişkilerine bile ulaşılmıyor. Elektrik kesintileri arama bağlantısını bloklamışlar bilerek.",,,,
58,Üniversite okuyoruz. 13 Haziran 2024 Nevşehir-Mersin için metro seyahatten bilet almıştık. Aynı koltukları birden fazla kişiye satmışlar. Kimse yolculara saygı göstermiyor. Otogar içinde hareket halinde bagajlarımız yere düştü. Otobüsten indirilmekle tehdit edildik. Şoför ve muavin sürekli suçlayıcı ve tahrik edici şekilde yüksek ses tonuyla sanki suçlu bizmişiz gibi konuşmalar yapıyorlar.,,,,
59,"Hey Döner, Şehit Kamil Caddesi'ndeki şubede yemekle birlikte önümüze gelen tepsi pislik içerisindeydi. Garsona bu tepsiler temizlenmiyor mu diye sorduğumuzda, 'Ben garsonum, bilmiyorum,' dedi. O zaman müdür ya da yetkili birini çağırın, onunla görüşelim dedik. Arkasını döndü, gitti ve kimseyle konuşmadı. Kısa süre sonra geldi ve boş tepsileri topladı. Üzerindeki kağıdı çöpe atıp tekrar yeni kağıt koyarak, tepsileri silmeden tekrar kullanılır duruma getirdi. Böyle sağlığımızı tehlikeye atan pis işletmelerin çalışmaya devam etmesini istemiyoruz. Neden gıda sektörü denetlenmiyor?",,,,
60,Amazon Almanya'dan aldığım ürünün Almanya'dan gelmesi daha kısa sürdü. Hizmet vermedikleri bir bölgedeymişiz ancak kendileri de ürünü alıp başka bir kargo firmasına verme zahmetinde bulunamadılar. Bayramdan önce gelir mi diyorum SMS ile bilgi verilecektir diyor ne zaman gelir diyorum SMS ile bilgi verilecektir diyor ancak gelen giden bir SMS de mevcut değil. Haklarını yemeyeyim bana hemen geri dönüş sağladılar ancak geri dönüşün içeriği boş.Amazon için de aynı şekilde bir şikayet kaydı yapacağım,,,,
61,"BİM marketten soslu Erpiliç kanatlarını arada sırada alıyorum. Öncelikle kutuyu açınca ağır bir koku oluyor. Tüketim süresi geçmese bile. Sos denen o sarımsı kırmızımsı bir renk verici madde ise tavuğun tadını kokusunu çok kötü hale getiriyor. Yani yedikçe bu bozuk sosis mi yoksa çöplükten bulunmuş kokmuş yiyecek mi bilemiyor insan. Lütfen o kanatları soslu yapacaksanız daha güzel bir sos yapın. Yani hızlı yapılacak, çok zaman almayacak hazır bir gıda ürünü Türkiye'de zaten çok az. Ayrıca bu ürün tavuğun gövdesine yakın kısmından hazırlanıyor. Kanatın uç kısmı yok. Bütün kanat olursa o zaman paket tamamlanmış olur.",,,,
62,"toptantekten.com üzerinden bir adet tahta sipariş vermek istiyordum. İstediğim ölçüler web sitesi üzerinde olmadığı için kendilerine WhatsApp üzerinden ulaştım.İlgili ölçüleri ilettiğimde ücretin 340 TL olduğunu söylediler. Kendilerine ücretin ödemesini yaptım ve dekont ilettim. Dekonttan sonra hiçbir şekilde dönüş alamadım. Mail gönderdim, WhatsApp üzerinden yazdım, çağrı merkezlerini aradım. Hiçbir şekilde dönüş sağlamıyorlar. 340 TL tutar beni Fakir, onları ise zengin etmez.Kurumsal olmayan bir marka. Kurumsal olmayan bir çağrı merkezi. Ekstra olarak Tüketici Hakem Heyeti'ne mesajların görsellerini ve dekontu ileteceğim.",,,,
63,13.06.2024 tarihinde Mersin Tarsus Vivense şubesine koltuk takımı almak için gittik. İndirimli olduğu için birçok ürün satılmıştı. Teşhirdeki bir ürünü beğendik ve almaya karar verdik. Teşhirde bekleyen satılmamış olan ürünü bize satamayacaklarını söylediler. Çünkü a****** isimli çalışan tanıdığı biri için satmak istediğinden bize sattırmadı ürünü. O an almak bizim hakkımızken alamadık. Tartışma çıkarmak istemediğimiz için alamadan çıktık. Fakat adil olmayan bu durumdan şikayetçiyim. Bize indirimli ürünler olduğu için kimseye ayıramadıklarını söyledikleri halde tanıdığı için ayırmış bulunmakta çifte standart uygulayarak haksız kazanç elde etmektedir. Durumun lehime değiştirilmesini istiyorum.,,,,
64,"Dün kurye çağırdım, bugün iki kere aramama rağmen kargom gelip alınmadı ve acil ulaşması lazımdı. Sıfır hizmet, gelip arkadaşlar alacak dendi ama gelen olmadı. Ben mağdur oldum, iki günüm boşa beklemekle geçti. Artık kesinlikle Aras Kargo'yu kullanmayacağım, böyle sorumsuzluk olmaz.",,,,
65,"VakıfBank ile çalışan maaşımı her ayın 14'ünde alıyorum. Hesap kartım üzerinden açılan ek hesap kartı bana sorulmadan tanımlandı ve herhangi bir faiz oranı söylenmedi. Her ayın 14'ünde maaşımı almama rağmen hesap kesim tarihi öne alınıp benden haksız kazanç elde edildi. 3002 ile biten kartımdan 447,98 TL kesildi. Ek hesap faiz tahakkuku ve tahsilatı nedeniyle mağdurum. Her ayın 14'ünde maaş almama rağmen VakıfBank tarafından ek hesabım öne çekilip ücreti ödemeye mecbur bırakıldım. Ücretin geri ödenmesini arz ederim.",,,,
66,"Trendyol dan Melitta filtre kahve makinesi aldım. Ürün gelir gelmez denemek istedim. Fakat bozuk ürün gönderilmiş. Kahve haznesi dahil bir çok yerden akmaya başladı. İade ettim inceleme sonucu sorunlu yer onarıldı tarafınıza kargoyla gönderilecek denmesi. Trendyol asistanı ise elektronik ürünü açtınız hasarı onarıldı para iadesi olamaz gönderiyoruz dedi. Bende müneccim değilim açıp denemeden bilemem hasarlı olduğunu, madem öyle hasarlı ürün göndermeyin dedim.",,,,
67,"Merhaba, Fenerium mağazasından satın almış olduğum ürünlerim 3 gündür dağıtımda gözükmek olup tarafıma henüz teslim edilmemiştir. 13/06/2024 tarihinde canlı desteğe konuyu sorduğumda bugün teslim edileceğine ve acil iletilmesi notunun düşüldüğü iletilmiştir. Fakat tarafıma paketim iletilmemiş olup UPS kargonun sitesinde uzak bolge notu işlenmiştir. Bu ne demek oluyor UPS cargo? Paketim tarafıma teslim edilmeyecekmi?",,,,
68,"Comtel İletişim'den beni aradılar. Cayma bedeli bize ait, sınırsız internet ve sınırsız konuşma kampanyası var diyerek beni Vodafone'dan Türk Telekom'a taşıdılar. Vodafone 780 TL cayma bedeli yansıttı, ancak ödemediler. Sunmuş oldukları sınırsız tarife yerine 40 GB tarifesi uygulandı ve 380 TL idi. Fatura geldiğinde 540 TL olarak yansıdı. Türk Telekom'u aradığımda sürekli aynı sözleri tekrarlıyorlar. Telekom bünyesinde çalışan bayisi ile kopukluk yaşanıyor ve bunun cezası müşteriye kesiliyor. Bayiye gitmem, kaşeli imzalı kağıt almam gerekiyormuş. Çalışıyorum ve evin yoluna hasretim, bir de sizin bayinize ulaşamam. Vodafone cayma bedeli 780 TL, Türk Telekom faturası 540 TL. Yanıltıcı beyanlarla hattımı taşıdılar. Türk Telekom'u kullanmak istemiyorum, durumu izah ediyorum. Yanlış ve yanıltıcı tariflerle hattımı taşıdılar, hattımı kapatmak istiyorum. 320 TL de cayma bedeli yansıtıyorlar. Yanıltıcı beyan var, cayma bedeli adı üstünde. Sizin kurumunuzun sunmuş olduğu sözlerin gerçekleşmemesi zaten cayma bedeli değil mi? Siz sözünüzde durmuyorsunuz. Cayma bedeli bana ödenmeli. Lütfen acilen mağduriyetimi giderin. Comtel İletişim adres: İkitelli OSB Mahallesi Atatürk Bulvarı No: 102 BOTAŞ İş Merkezi A Blok Kat: 4. Comtel İletişim bu kadar rahat bir şekilde insanları yanıltmamalı. Davamda kazanacağım.",,,,
69,"Merhaba, 3 ay önce Ankara Armada mağazasından almış olduğum şifoniyerin ayağı kutudan kırık çıktı. Kısa sürede parça telafi edileceği söylendi. Daha sonra parça Ankara'ya geldi denildi. Müşteri hizmetlerini aramaktan yoruldum. Paranla rezil olmak bu demek ki. Kelebek Mobilya'ya hiç yakışmıyor. Genel Müdür T**** K***, size sesleniyorum, aylardır mağdurum. Yetkili yok mu? Ayıplı malınızın arkasında neden durmuyorsunuz?",,,,
70,"İGDAŞ aylık fatura düzenlemiyor, 25 günlük filan periyotlarda fatura düzenliyor. Yılda 12 ay var ancak İGDAŞ'tan yılda 13 fatura geliyor. Hem devleti hem vatandaşı aldatıyorlar. Mart ayında iki fatura ödedik mesela ayrıca bu sadece bana değil herkese bu şekilde fatura geliyor. İGDAŞ buna bir açıklama yapmalı, ama yapmaz, sonuçta tekel, düzen kurulmuş tıkır tıkır isliyor düzenleri, kim ne karışır, vatandaş da kim oluyor..",,,,
71,KFC'den yaşanan pişmanlık. KFC'nin ana sitesinden sipariş verdik ve siparişimiz gelmedi. Müşteri hizmetlerini aradığımda aranan numaradan farklı numarayla sipariş verilmiş diyor. Ama adresim vardı hiçbir şekilde müşteri temsilcisine bağlanılmıyor. Umarım mağduriyetim giderilir.,,,,
72,"Ben ödememi yaptığım halde ihlal diyor. Ben ödemeleri yapıyorum, gerçekten çok saçma ve ben uygulamaya giriş yapamıyorum. Yükleniyor diyor, bu benim suçum değil; sistem hata veriyor. Sistemin hatası ve ödediğim taksitler var ve bu hatayı bana yüklüyorsunuz.",,,,
73,"Bugün Pizza Hut uygulamasından sipariş verdim. Hem de üç kere. Saat 18:37'de verdiğim sipariş iptal oldu. Müşteriye ulaşılamadığı için yazıyordu. Siparişimi 19:34'te tekrarladım, o da aynı şekilde iptal edildi. Bu siparişler arasında tabii zaman geçiyor. Bir süre sonra müşteri hizmetlerini aradım ama ulaşmak mümkün olmadı. Şubenin zaten numarası yok. Sonra bir numaradan arandım. Siparişinizin ödemesini Edenred ile yaptığım için otomatik iptal olduğunu söyledi karşıdaki kişi. (O zaman neden o ödeme seçeneğini koyuyorsunuz?) O zaman kredi kartı ile ödeme yapayım dedim. Siz tekrar sipariş verin dendi. Saat oldu 20:00. Ben yine inatla saat 20:06'da bir sipariş daha verdim. Saat şu anda 21:45, ne gelen var ne giden ne de arayan var. Bu arada müşteri hizmetlerini tekrar aradım, tam 6 dakika bekledim ama sonuç hüsran. Yoldan geldim ve evde bir şey yoktu, sayenizde hiçbir şey yiyemedim. Gerçekten çok öfkeliyim. Anladığım kadarıyla anlayışınız hiç iyi değil. Sipariş hala yolda gözüküyor. Oturup siz yersiniz artık. Kurumsal ve global bir marka bunu yapıyor. Pes gerçekten. Bir daha sizin şubelerinizin önünden bile geçmem. Kimseye de sizi önermiyorum. Bari başkaları sorun yaşamasın.",,,,
74,İş Bankası'nın 25 yıllık müşterisiyim. Kredi kartı limit artırımı için 17.05.2024 tarihinde mobilden başvurdum. Herhangi bir işlem yapılmayınca müşteri temsilcisini aradım. 2 iş günü içinde bana dönüş yapacaklarını söylemelerine rağmen hiçbir şekilde dönüş yapılmadı ve alacağım ürünün kampanyasından yararlanamadım. Kendi maaş aldığım banka yüksek limitli teklif yapmasına rağmen ben kendim kabul etmezken İş Bankası'nın tarafıma karşı bu kadar ilgisiz ve sorumsuz davranması beni oldukça üzmüştür. Ne yazık ki kendileri ile olan 25 yıllık beraberliğimi sonlandırma kararı aldım. Not: Bankalar nezdindeki puanım en üst basamaktadır. 100 yıllık bir bankaya yakışmadı.,,,,
75,"Merhaba, Karaca kahve makinesi aldık. Sadece iki kere kullandık, üçüncüde kahveyi hazırladım, düğmeye bastığımda çalışmadı. İki kere kullandığım makine için 25 gündür servisten dönüş yapmasını bekliyorum. Çok yazık, mağdur edildik. Böyle mi üretim yapıyorsunuz? Hiç yakışmadı Karaca markasına.",,,,
76,"Hayatımda gördüğüm en kötü firma. Verdiğim siparişi eksik getiriyorlar ve bir de yeniden sipariş verip tekrar 26,99 TL kurye ücreti ödememi talep ediyorlar. Üstüne bir de canlı destek kesinlikle cevap vermiyor. Tüketici Hakları'na kadar taşıyacağım konuyu. Paramızla mağdur olduğumuz, müşterinin hiçbir hakkını gözetmeyen bir firma. Yarın ilk işim Tüketici Hakları'na gitmek olacak.",,,,
77,"Online sipariş verdim, 5 adet ürün hepsi de gözüküyor ama beni arıyorlar Ortaköy şubesi, 5 ürünün sadece ikisi var diye. Bu nasıl bir hizmet? İlgilenilmediğimi hissettim, ben de başka bir şubeye yönlendirilmesini söyledim. Hanımefendi yapamadıklarını söyledi. Ben de siparişimi iptal etmesini söyledim.",,,,
78,Vodafone Müşteri hizmetleri tarafından 0535***1023 numaralı hattımdan aranarak tarifemin süresinin sona ermesine az kaldığından taahhüt süresini kaçırmam halinde yüksek faturayla karşılaşmamam için tarafıma teklifler yapılmıştır. Bunlardan bir tanesi 30 GB internet... Adet SMS... Dakika konuşma vs. 750 TL küsur yerine 390 TL olarak Teklif ile birkaç tane daha teklif verdiler. 30 GB interneti olan tarifeyi kabul ettim. Onay verdiler. (Görüşmeler kaydedildiği için Vodafone merkezde kayıtlıdır. ) Mobil uygulamadan kontrol için baktığımda 30 GB olması gereken internetim 20 GB'lık internet tarifesinin uygulandığını gördüm. Müşteri hizmetlerini arayarak bu durumu ilettim. En geç 1 hafta 10 gün içerisinde ses kayıtlarının incelendikten sonra tarafım dönüş yapılacağını ilettiler. Bu sorunun çözülmesini talep ediyorum. Aksi takdirde diğer hatalarımla birlikte başka bir operatöre geçeceğimin bilinmesini isterim.,,,,
79,"VakıfBank kendi müşterisini aldatıyor. Troy Kredi kartı ile Sigorta harcamalarınıza faizsiz 6 taksit! Kampanyasından faydalanmak için Troy kartım ile 6974,40 TL sigorta ödemesi yaptım. Her ne hikmetse faizsiz 6 taksit işlemi yapmıyorlar. Meğerse yalnızca Türkiye sigortadan yapılan sigortalar için geçerliymiş kampanya. Görselleri paylaşıyorum siz karar verin bu müşteriyi aldatmak değil mi?",,,,
80,Akşam saat 6 da Elazığ dan Diyarbakır a gitmek için yola çıktım otogardan çıktım. Bana en geç 9 da Diyarbakır da olacağım söylendi. Yıl boyunca otobüs sürekli durdu. Diyarbakır'da şehir içi dolmuş gibi her yerde yolcu indirip bindirdi. Ve ben başka yere geçmek için aldığım biletin saatini kaçırdım. Gitmek istediğim ile araç bulamıyorum. Bu firmanın saçma sapan her yerde durmadın sorununa bir çözüm bulabilecek misiniz,,,,
81,Kedicek_kids adlı Instagram butiği 0536*****89 numaralı telefonla yanlış ürün gönderdi. İade almıyorlar ve telefonları açmıyorlar. Instagram adını da değiştirmişler. Şikayet için verdikleri numara da açılmıyor. Hiçbir şekilde dönüş alamıyorum. Savcılığa başvuracağım.,,,,
82,! Bir Üniversite öğrenci olarak vergisiz telefon almıştım. Hala param yatırılmadı Ocak ayında almıştım neredeyse 5 ay oldu... Nasıl ve nereden yardim alacağımı bilmedim için buraya yazıyorum inşallah yardımcı olursunuz... Kimseden geri dönüş olmadı umarım param yatar.,,,,
83,"Payselime 140 bin TL para yatırdım, hesabıma bloke konuldu. Neden olduğunu öğrenebilir miyim? Bayram üzeri mağdur oldum. Telefon numaram 5357****52. Lütfen yardımcı olun. Müşteri hizmetlerini aradım, 96 saat diyorlar yani 4 günden bahsediyorlar. Bayram arifesi ihtiyaçlarımız var.",,,,
84,Almanya için O**** Bey'le görüştük. İşlemler için evrakları 1250€ ödeme gönderdik. Eşimin hastalığı nedeniyle mecburen vazgeçtik. Ödemenin bir bölüm gönderiler kalan paranın haftaya gelecek dediler birkaç defa daha aradım ses seda çıkmadı. Yaklaşık 7 ay oldu O**** beye yazdım onun da sesi çıkmadı. Ciddi bir hastalık ile mücadele ediyoruz. Bu yazıdan sonra umarım kalan ücretimi gönderirler.,,,,
85,"6 yıldır ikamet ettiğimiz ve faturalarımızı düzenli olarak ödediğimiz adreste, Kurban Bayramı'na 2 gün kala kaçak elektrik kullanımı iddiasıyla bugün elektriğimiz kesildi. 3 saattir telefonla Başkent EDAŞ'ı arıyoruz. Başkent EDAŞ konuyu Enerjisa'ya, Enerjisa ise Başkent EDAŞ'a yönlendiriyor. Şu an elektriğimiz yok ve muhatabımız da yok. Ne yapacağımızı da bilmiyoruz. Karanlıkta oturuyoruz. Bir insan daha ne kadar mağdur edilebilir ki?",,,,
86,Akbank tan emekli maaşımı almaktayım. Promosyonumu aldım. Her gün reklamlarda verdiğimiz her otomatik talimatlı faturaya 500 TL CIP para verileceği söyleniyor. 3adet fatura verdim 2 kez faturalarım ödendi 2 aydır bekliyorum CIP para falan yok tamamen fiyasko aradım şikayet dilekçesi oluşturdum yanıt geldi bu kampanyaya uygun değilmişim çok komikler çok ayıp yapamayacağınız Kampanyalar yapmayın hemen faturalarımı başka bankaya taşıdım Akbank benim için bitmiştir,,,,
87,"Yeni cihaz alımında sigorta yaptırmıştım. Sigorta kasko ücretini faturaya yansıtmak için Paycell, 'faturaya yansıt' adı altında 29.9 lira faturama yansıtmış. Faturamın kesim tarihi gelmeden sigortayı iptal ettiğim için, sırf 29.9 TL'yi ödememek için, bu ücretin iptalini talep ediyorum.",,,,
88,"12 Haziran'da C****** A*** Park'a kızımla birlikte gittik. Girişte çantalarınızı 6 kişi karıştırıyor, bu çok küçük düşürücü bir davranış. Kızımın modunu düşürmemek için içeri yöneldim. Kişi başı 700 TL fiyatı çok pahalı ve eşyalarınızı bırakacağınız yer için anahtar ve dolap 100 TL. Tuvalette peçete yok ve çok kirli. Kaydırakların olduğu yerde çalışanlar size hortumla su tutuyor, bu çok utanç verici, sanki arabamı yıkıyorlar. Sadece 2 duş kabini var ve bu kadar kolay olmamalı. Daha önce gelmiştim ama bu kadar kötü görmemiştim. Mutsuz ayrıldım ve bir daha asla gelmem.",,,,
89,"Teslim aldıktan sonra deneyeyim dedim, bütün apartmanın sigortası attı. Daha önce su ısıtıcısı almıştım, 13 gündür serviste hala gelmedi. Bundan dolayı bir elektrikçiye gittim, 15 dakikada yaptı. Teknosa servis elemanları kabloları ters bağlamanın yanında uçları birbirine temas ediyordu. Elektrikçi arkadaş da ben de şok olduk. Sıfır ürün nasıl böyle olabilirdi? Neyse, elektrikçiye 130 TL verdim. Bitti ama sigorta işi pahalıya mal oldu. Bununla ilgili tüketici hakem heyetiyle görüşeceğim.",,,,
90,"WhatsApp'ta yeni bir numara oluşturdum, ancak kod gelmedi. Diğer numaram iptal oldu ve eski numaramı da kullanamıyorum. WhatsApp'tan da kod gelmiyor. Neden gelmiyor? Lütfen yardımcı olur musunuz? Rica ediyorum. Bundan sonra da yardımcı olur musunuz?",,,,
